n_probes,parallel_mode,run,queries_per_s,latency_50th,latency_95th
128,1,1,1770.2276498853566,6.838440895080566,9.129071235656735
128,1,2,2211.7442267231886,6.220698356628418,8.542370796203612
128,2,0,2035.4749316139214,7.110834121704102,9.40475463867187
128,2,1,2210.0097269209773,6.8465471267700195,10.447502136230465
128,2,2,3594.4707917025403,4.884839057922363,8.984673023223872
1,0,0,270776.5248474652,0.11229515075683594,0.1537799835205078
1,0,1,299873.9533949291,0.1304149627685547,0.29206275939941406
1,0,2,293398.45364899246,0.11205673217773438,0.15497207641601562
1,1,0,155897.5670368563,0.11467933654785156,0.1575946807861328
1,1,1,137231.28306203164,0.11444091796875,0.19670724868774397
1,1,2,167041.78649273913,0.11444091796875,0.1544952392578125
1,2,0,452184.86271567247,0.11563301086425781,0.1862049102783203
1,2,1,553480.6447568965,0.13303756713867188,0.24009943008422835
1,2,2,358249.6068850003,0.11467933654785156,0.16808509826660156
2,0,0,184728.45915744558,0.15497207641601562,0.21839141845703125
2,0,1,164648.32034770702,0.15497207641601562,0.22293329238891585
2,0,2,158212.15866993731,0.15544891357421875,0.2548694610595703
2,1,0,37030.49002337237,0.31375885009765625,0.4436969757080078
2,1,1,37139.77187348776,0.4177093505859375,0.5660176277160642
2,1,2,32984.429395002146,0.3046989440917969,0.5245208740234375
2,2,0,356547.84016865515,0.28395652770996094,0.5116462707519531
2,2,1,147690.81686046306,0.3120899200439453,0.4246354103088377
2,2,2,142260.13741998022,0.32711029052734375,0.5329132080078118
4,0,0,85895.20315999351,0.3600120544433594,0.5533814430236814
4,0,1,95123.40766588294,0.3597736358642578,0.5555272102355955
4,0,2,83422.7998234604,0.35834312438964844,0.5500435829162595
4,1,0,23484.493490916266,0.4405975341796875,0.7555842399597162
4,1,1,26526.6417846165,0.4271268844604492,0.6158351898193359
4,1,2,21541.98294423871,0.40459632873535156,0.5889058113098142
4,2,0,37763.12979455249,0.4506111145019531,0.6432652473449705
4,2,1,85424.73320962512,0.44405460357666016,0.6229877471923828
4,2,2,85208.06610399019,0.44918060302734375,0.6415963172912595
8,0,0,48306.27598620756,0.5292892456054688,0.6971359252929688
