n_probes,parallel_mode,run,queries_per_s,latency_50th,latency_95th
1,0,0,286503.41572840296,0.0001285076141357422,0.00018836259841918928
1,0,1,290929.0674228147,0.00012683868408203125,0.0002467751502990721
1,0,2,321900.132235033,0.00011205673217773438,0.0001590251922607422
1,1,0,104752.5070473048,0.00012946128845214844,0.00030922889709472656
1,1,1,150840.2241652692,0.00011515617370605469,0.00016164779663085938
1,1,2,154221.57393881076,0.00011467933654785156,0.0001628398895263672
1,2,0,340186.91891988344,0.0001323223114013672,0.0002799153327941893
1,2,1,263848.46105843753,0.00011658668518066406,0.00017309188842773438
1,2,2,231641.96513582714,0.00011658668518066406,0.00017381906509399397
2,0,0,176967.08667636526,0.0001628398895263672,0.00024318695068359375
2,0,1,204047.97163578763,0.00017213821411132812,0.00027871131896972656
2,0,2,191022.85003288233,0.00016021728515625,0.0002338886260986328
2,1,0,29268.488071164305,0.00030517578125,0.0005870342254638665
2,1,1,41209.17465499151,0.00031113624572753906,0.0004475116729736328
2,1,2,64547.64445105161,0.0002961158752441406,0.0003936290740966797
2,2,0,215871.97671180914,0.0002732276916503906,0.00039315223693847656
2,2,1,185696.22847923863,0.00029015541076660156,0.0004005670547485348
2,2,2,141049.29843653107,0.0002772808074951172,0.00041104555130004865
4,0,0,93007.59529150468,0.0002644062042236328,0.00037360191345214844
4,0,1,97333.1625369208,0.00026345252990722656,0.00036835670471191406
4,0,2,94594.17888776676,0.00026416778564453125,0.0003757476806640625
4,1,0,39315.701416171905,0.0004241466522216797,0.0006130218505859368
4,1,1,39127.0067229393,0.00042557716369628906,0.0006044030189514158
4,1,2,34243.403805624555,0.0004241466522216797,0.0006599783897399897
4,2,0,74781.87970617879,0.0004062652587890625,0.000658583641052245
4,2,1,71052.08414504823,0.0004048347473144531,0.0006806969642639158
4,2,2,59843.21756826148,0.00040411949157714844,0.0006301879882812493
8,0,0,57258.723643476835,0.0005614757537841797,0.0008483052253723143
8,0,1,51341.804157821636,0.0005414485931396484,0.0007286310195922848
8,0,2,65452.55821523779,0.0005407333374023438,0.00072479248046875
8,1,0,15501.108337613323,0.0008485317230224609,0.0015129685401916474
8,1,1,19320.680847559037,0.0008537769317626953,0.002707123756408686
8,1,2,28065.90982529401,0.0008280277252197266,0.0012410163879394524
8,2,0,24663.97911111205,0.0008099079132080078,0.0023446798324584916
8,2,1,23839.333401879237,0.0007684230804443359,0.0010400176048278803
8,2,2,28957.098755949875,0.0008077621459960938,0.0024651050567626905
16,0,0,30797.587212570263,0.0011456012725830078,0.0014882564544677727
16,0,1,37950.66770780647,0.0015263557434082031,0.0021216988563537596
16,0,2,31811.509911024485,0.0011620521545410156,0.0015172958374023438
16,1,0,9389.099977847449,0.0015766620635986328,0.004774594306945797
16,1,1,11967.54525117626,0.0015648603439331055,0.004847168922424315
16,1,2,8245.68374951916,0.0015482902526855469,0.004648685455322262
16,2,0,13428.875708370677,0.0014820098876953125,0.002653372287750244
16,2,1,12529.547529412952,0.0015170574188232422,0.002410995960235594
16,2,2,12817.722551135996,0.001497507095336914,0.0029019951820373506
32,0,0,19210.252053307562,0.0025333166122436523,0.0033314466476440426
32,0,1,18225.395739216532,0.00252687931060791,0.0032918691635131832
32,0,2,18744.863580221285,0.003224611282348633,0.004179954528808594
32,1,0,4750.334124522626,0.0029349327087402344,0.004810357093811035
32,1,1,7038.354574120634,0.0029240846633911133,0.0048550009727478015
32,1,2,7093.4889940842495,0.002889394760131836,0.004811859130859374
32,2,0,8457.668414827804,0.003108501434326172,0.004727709293365477
32,2,1,7326.697684964528,0.0030022859573364258,0.004745042324066162
32,2,2,7695.202675094499,0.0030406713485717773,0.005262887477874755
64,0,0,10353.760681602304,0.004654407501220703,0.005639326572418213
64,0,1,11422.178460046283,0.004291892051696777,0.005117297172546385
64,0,2,10949.181363933129,0.0042264461517333984,0.005071902275085449
64,1,0,2471.8852420694584,0.00388181209564209,0.0060873270034790036
64,1,1,4718.577555254459,0.0038121938705444336,0.005868268013000487
64,1,2,4205.82704080987,0.003891468048095703,0.006085443496704101
64,2,0,3291.0575038915267,0.004038095474243164,0.0064211845397949205
64,2,1,3072.5168744512553,0.003934025764465332,0.006293785572052002
64,2,2,7841.929233531843,0.0042705535888671875,0.006558728218078612
128,0,0,6072.502216577743,0.007622957229614258,0.009325027465820312
128,0,1,5825.147469433247,0.007294297218322754,0.00883866548538208
128,0,2,5540.496861477895,0.007282376289367676,0.009094345569610595
128,1,0,1970.753941665053,0.00874173641204834,0.011202466487884519
128,1,1,3090.0448130848094,0.008393049240112305,0.010928249359130858
128,1,2,1476.3507788928257,0.008425235748291016,0.010502851009368895
128,2,0,2295.120825550174,0.008327603340148926,0.012596654891967773
128,2,1,2329.878184810263,0.008598923683166504,0.013216781616210937
128,2,2,2186.8086735893176,0.008589029312133789,0.013244760036468503
